threshold,approval_rate,default_rate,profit
0.01,0.0,0.0,0
0.02,0.0002,0.0,51675
0.03,0.0013,0.0,321975
0.04,0.004,0.0,965925
0.05,0.008,0.0041,1925325
0.06,0.0137,0.0047,3282225
0.07,0.0211,0.0077,4975875
0.08,0.03,0.007,7110600
0.09,0.041,0.0079,9673500
0.1,0.0535,0.0088,12575700
0.11,0.0666,0.0088,15655350
0.12,0.0814,0.0094,19095600
0.13,0.0971,0.0107,22643475
0.14,0.1127,0.0114,26201850
0.15,0.1299,0.0126,30029550
0.16,0.1483,0.0133,34185750
0.17,0.1656,0.014,38033325
0.18,0.1827,0.0142,41924325
0.19,0.2006,0.0148,45892575
0.2,0.2186,0.0158,49777650
0.21,0.2372,0.0162,53916825
0.22,0.2548,0.0165,57855825
0.23,0.2729,0.017,61833450
0.24,0.2911,0.0174,65813775
0.25,0.3092,0.0175,69873300
0.26,0.3282,0.0184,73875375
0.27,0.3465,0.0194,77625900
0.28,0.3647,0.0202,81365775
0.29,0.3826,0.0214,84867600
0.3,0.3997,0.0221,88395375
0.31,0.4166,0.0233,91605900
0.32,0.4343,0.0238,95239725
0.33,0.4508,0.0246,98505450
0.34,0.4674,0.0251,101859750
0.35,0.4836,0.0259,104991750
0.36,0.4986,0.0271,107638125
0.37,0.5141,0.0281,110438100
0.38,0.5287,0.0288,113167350
0.39,0.5434,0.0294,115965450
0.4,0.5575,0.03,118608525
0.41,0.572,0.0308,121226775
0.42,0.5867,0.0317,123793650
0.43,0.6003,0.0323,126292350
0.44,0.6139,0.0332,128537400
0.45,0.6271,0.0342,130646025
0.46,0.6406,0.0348,133046925
0.47,0.6531,0.0356,135116775
0.48,0.6649,0.0362,137143875
0.49,0.6773,0.037,139077600
0.5,0.6895,0.0379,140946450
0.51,0.7013,0.0388,142733100
0.52,0.7127,0.0396,144445500
0.53,0.7247,0.0404,146254725
0.54,0.7375,0.0416,147909975
0.55,0.7485,0.0427,149252175
0.56,0.7594,0.0437,150644475
0.57,0.7705,0.0442,152359275
0.58,0.7815,0.0449,153948450
0.59,0.7915,0.046,155074575
0.6,0.8011,0.0469,156139650
0.61,0.8115,0.0482,157103550
0.62,0.8215,0.0492,158101500
0.63,0.831,0.05,159272175
0.64,0.8412,0.0511,160265025
0.65,0.8505,0.0522,161014125
0.66,0.8595,0.0533,161749725
0.67,0.8682,0.0542,162519525
0.68,0.8767,0.055,163408125
0.69,0.8854,0.0561,164011425
0.7,0.894,0.0573,164456175
